name,Energie,Acide Gras,Sucre,Sodium,Proteine,Fibre,Teneur en fruits,nova_grade,nutriscore_grade,nutriscore_score,categories
Fromage blanc 60Cal.100g,291.0,2.0,4.1,52.0,6.5,0.0,0.0,3.0,A,-3,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés nature, Yaourts, Fromages blancs, Fromages blancs natures"
Haricots verts extrafins coupés BIO,101.0,0.0,0.8,300.0,1.6,2.8,100.0,3.0,A,-4,Légumes en conserve et bocal
Haricots verts extrafins coupés BIO,101.0,0.0,0.8,300.0,1.6,2.8,100.0,3.0,A,-4,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Conserves, Aliments à base de fruits et de légumes, Légumineuses, Aliments à base de plantes en conserve, Légumes et dérivés, Légumes en conserve, Haricots verts, Légumineuses en conserve, Haricots verts en conserve"
Haricots rouges Bio,312.0,0.0,0.5,256.0,5.5,6.7,99.3,3.0,A,-11,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Légumineuses, Graines, Graines de légumineuses, Légumineuses sèches, Haricots, Haricots rouges, Légumes en conserve et bocal"
Skyr vanille,319.0,0.0,9.4,40.0,9.4,0.0,0.0,3.0,A,-3,"Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Skyrs"
"Tomate Courgette Pâtes, avec morceaux",278.0,1.3,3.8,36.0,2.1,1.8,0.0,3.0,A,-1,Repas pour bébés
TORSADES au blé intégral,1461.0,0.5,3.1,8.0,13.0,9.3,0.0,1.0,A,-6,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires"
Flageolets verts bio,365.0,0.1,0.0,324.0,5.4,5.9,0.0,3.0,A,-4,"Surgelés, Légumes en conserve et bocal"
"Spaghetti Bolognaise, avec petits morceaux",250.0,0.4,2.2,32.0,2.6,1.6,0.0,3.0,A,-2,Repas pour bébés
Pommes Mangues avec morceaux,277.0,0.2,13.0,4.0,0.5,1.5,99.8,4.0,A,-4,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes de pomme, Desserts de fruits, Compotes pommes mangue, Compotes sans sucres"
Poêlée Vendéenne aux Mogettes de Vendée,233.0,0.1,2.0,336.0,3.2,4.0,71.0,4.0,A,-5,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Aliments à base de fruits et de légumes, Aliments à base de plantes en conserve, Plats préparés, Légumes et dérivés, Légumes en conserve, Légumes préparés, Mélanges de légumes, Poêlées, Plats préparés en conserve, Plats préparés d'origine végétale"
